pmid,title,theme,reason
40992030,Improving prototypical parts abstraction for case-based reasoning explanations designed for the kidney stone type recognition.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 49 > cap 12)
41084623,Expanding Training Data for Endoscopic Phenotyping of Eosinophilic Esophagitis.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 50 > cap 12)
38038811,Automatic surgical phase recognition-based skill assessment in laparoscopic distal gastrectomy using multicenter videos.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 51 > cap 12)
38312122,Automatic detection of small bowel lesions with different bleeding risks based on deep learning models.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 52 > cap 12)
38926431,Fluorescence excitation-scanning hyperspectral imaging with scalable 2D-3D deep learning framework for colorectal cancer detection.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 53 > cap 12)
36991887,Endoscopic Image Classification Based on Explainable Deep Learning.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 54 > cap 12)
37160580,Investigating keypoint descriptors for camera relocalization in endoscopy surgery.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 55 > cap 12)
37293591,The current state of artificial intelligence in endoscopic diagnosis of early esophageal squamous cell carcinoma.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 56 > cap 12)
37835766,The Advent of Domain Adaptation into Artificial Intelligence for Gastrointestinal Endoscopy and Medical Imaging.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 57 > cap 12)
37837264,Vocal cord leukoplakia classification using deep learning models in white light and narrow band imaging endoscopy images.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 58 > cap 12)
36010346,Detection and Characterization of Gastric Cancer Using Cascade Deep Learning Model in Endoscopic Images.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 59 > cap 12)
36467700,A deep learning based framework for the classification of multi- class capsule gastroscope image in gastroenterologic diagnosis.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 60 > cap 12)
33159692,Current status and future perspective of artificial intelligence applications in endoscopic diagnosis and management of gastric cancer.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 61 > cap 12)
34316372,Automatic anatomical classification of colonoscopic images using deep convolutional neural networks.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 62 > cap 12)
34807297,Improving the Classification Performance of Esophageal Disease on Small Dataset by Semi-supervised Efficient Contrastive Learning.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 63 > cap 12)
32698839,An improved deep learning approach and its applications on colonic polyp images detection.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 64 > cap 12)
32798923,Anatomical classification of upper gastrointestinal organs under various image capture conditions using AlexNet.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 65 > cap 12)
29760397,Automatic anatomical classification of esophagogastroduodenoscopy images using deep convolutional neural networks.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 66 > cap 12)
29086034,Endoscopic Image Classification and Retrieval using Clustered Convolutional Features.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 67 > cap 12)
42303852,Overview of State-of-the-Art Learning-Based Classification Methods in Medical Imaging.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 68 > cap 12)
37359150,Small bowel capsule endoscopy examination and open access database with artificial intelligence: The SEE-artificial intelligence project.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 69 > cap 12)
37627780,Self-Supervision for Medical Image Classification: State-of-the-Art Performance with ~100 Labeled Training Samples per Class.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 70 > cap 12)
35204591,Sequential Models for Endoluminal Image Classification.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 71 > cap 12)
35645023,Artificial intelligence within the small bowel: are we lagging behind?,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 72 > cap 12)
33057052,Understanding deep learning in land use classification based on Sentinel-2 time series.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 73 > cap 12)
